tokens,labels
on,1
a,1
three,1
year,1
"cycle,",1
followlng,0
Very,1
1nvolved,0
pro*,0
cedures.,1
There,1
are,1
roughly,1
25m,0
proposals,1
for,1
change,1
to,1
the,1
1991,1
code,1
for,1
relssue,0
1n,0
1934.,0
of,1
thesa.,0
response,1
15,1
approi,0
prlate,0
on,1
perhaps,1
"15m,",0
and,1
1ntense,0
effort,1
on,1
150.,1
"Unfortunately,",1
we,1
cannot,1
rest,1
on,1
our,1
Laurels.,0
Once,1
we,1
have,1
successfully,1
defended,1
favorable,1
amendments,1
and,1
reslsted,0
those,1
whlch,0
are,1
"detrlmental,",0
the,1
whole,1
process,1
starts,1
again.,1
Many,1
of,1
the,1
Sam,1
lssues,0
arlse,0
year,1
after,1
"year,",1
code,1
after,1
code.,1
1:,1
15,1
not,1
feaslble,0
for,1
member,1
companles,0
to,1
face,1
thls,0
task,1
1nd1v1dually.,0
A,1
concerted,1
effort,1
1:,1
essentlal.,0
As,1
far,1
back,1
as,1
"1959,",1
the,1
code,1
has,1
requlred,0
on,1
electrlc,0
motors:,1
A,1
remote,1
controller,1
dlsconnectlng,0
means,1
capable,1
of,1
bemg,0
locked,1
1n,0
the,1
open,1
"posltlon,",0
or,1
A,1
manual,1
sultch,0
located,1
Hlthln,0
51gb:,0
of,1
a,1
motor,1
to,1
dlsconnect,0
the,1
motor,1
from,1
1::,0
source,1
of,1
supply.,1
A,1
pushbutton,1
and,1
remote,1
magnetlc,0
sultch,0
would,1
be,1
common,1
to,1
elther.1nstallatlon.,0
In,1
other,1
words.,0
lock,1
1:,1
out,1
1n,0
3,1
motor,1
control,1
center,1
or,1
dlsconnect,0
1:,1
at,1
the,1
pump,1
1n,0
slght,0
of,1
the,1
operator.,1
Note,1
the,1
underllned,0
word,1
7,1
or.,1
1:,1
has,1
been,1
propsed,1
"beforE,",0
15,1
"proposed,",1
and,1
probably,1
will,1
be,1
proposed,1
agaln,0
to,1
change,1
that,1
or,1
to,1
and.,1
Sounds,1
"Simple,",0
just,1
one,1
more,1
sultch.,0
A,1
typlcal,0
pump,1
1nstallatlon,0
1n,0
a,1
hazardous,1
area,1
conslsts,0
of,1
a,1
motor.,1
"pump,",1
oll,0
unmersed,0
pushbutton,1
7,1
stralghtforward,0
minimum,1
essentlal.,0
Remote,1
from,1
the,1
pump,1
15,1
a,1
motor,1
control,1
center.,1
Push,1
the,1
button,1
at,1
the,1
pump,1
and,1
a,1
magnetlc,0
sultch,0
1n,0
the,1
control,1
center,1
opens.,1
Also,1
"remote,",1
15,1
a,1
lockable,1
sultch,0
separate,1
from,1
the,1
magnetlc,0
sultch.,0
The,1
magnetlc,0
sultch,0
15,1
rated,1
for,1
the,1
motor,1
slze,0
and,1
can,1
be,1
opened,1
safely,1
under,1
load.,1
Slnce,0
these,1
are,1
usually,1
located,1
1n,0
areas,1
havlng,0
less,1
demandlng,0
hazard,1
"classlflcatlons,",0
they,1
have,1
less,1
strlngent,0
and,1
less,1
expenslve,0
deslgn,0
requlrements.,0
Now,1
conslder,0
the,1
same,1
pump,1
1nstallatlon,0
mm,0
a,1
safety,1
sultch,0
for,1
each,1
motor.,1
If,1
the,1
proposed,1
change,1
were,1
"adopted,",1
thls,0
15,1
what,1
would,1
be,1
requlred:,0
hazard,1
rated,1
sultch,0
7,1
price,1
5900,0
7,1
1nstallatlon,0
cost,1
$300,1
7,1
total,1
51100,0
per,1
motor.,1
CMA,1
037999,1
Not,1
only,1
"expenslve,",0
but,1
potentlally,0
unsafe.,1
If,1
thls,0
sultch,0
at,1
the,1
pump,1
1:,1
opened,1
under,1
"load,",1
1:,1
Hill,1
are.,1
If,1
not,1
horse*,0
power,1
ra...ted.,0
1:,1
could,1
explode.,1
I,1
Will,1
leave,1
1:,1
up,1
to,1
you,1
to,1
estlmate,0
the,1
cost,1
of,1
thls,0
unnecessary,1
compllcatlon,0
on,1
each,1
new,1
motor,1
1nstalled.,0
Retroi,0
actlve,0
appllcatlon,0
has,1
"not""been",0
"proposed,",1
but,1
some,1
Zealot,0
may,1
try,1
1:,1
at,1
any,1
tune.,0
Retroflt,0
would,1
cost,1
more,1
llke,0
$1600,1
per,1
motor,1
and,1
a,1
modest,1
slze,0
chemlcal,0
plant,1
will,1
have,1
upward,1
of,1
1000,1
such,1
motors.,1
process,1
Control,1
Systems,1
Now,1
let's,1
leave,1
the,1
code,1
"turnplke,",0
try,1
a,1
dlfferent,0
"road,",1
and,1
explore,1
a,1
new,1
area:,1
Computerlzed,0
Process,1
Control,1
Systems.,1
1:,1
15,1
"new,",1
excltlng,0
and,1
underdeveloped.,1
Sounds,1
llke,0
a,1
descrlptlon,0
of,1
parts,1
of,1
the,1
Napa,1
Valley.,1
But,1
llke,0
the,1
"Valley,",1
1:,1
has,1
1::,0
pltfalls.,0
"Fortunately,",1
we,1
have,1
good,1
guldes,0
7,1
our,1
Process,1
Control,1
Task,1
Group.,1
on,1
May,1
13,1
and,1
"14,",1
the,1
T&sk,1
Group,1
conducted,1
1::,0
mum,0
Process,1
Computer,1
Users,1
Forum.,1
Half,1
a,1
day,1
was,1
devoted,1
to,1
Dlstrlbuted,0
Control,1
Systems.,1
Unlque,0
m,1
thls,0
sesslon,0
were,1
presentatlons,0
by,1
nonicompany,0
member,1
"people,",1
a,1
professor,1
and,1
a,1
journal,1
edltor.,0
Th1:,0
was,1
followed,1
by,1
dlscusslons,0
of,1
Human/Control,1
System/,1
Process,1
Interface.,0
Retroflt,0
of,1
Exlstlng,0
"Plants,",1
and,1
Integrated,1
Control,1
Systems.,1
Integrated,1
Control,1
Systems,1
are,1
those,1
whlch,0
.,1
comblne,0
dlstrlbuted,0
regulatory,1
control,1
systems,1
and,1
management,1
1nfomatlon,0
systems.,1
We,1
have,1
heard,1
the,1
term,1
Dlstrlbuted,0
Control,1
Systems,1
for,1
the,1
last,1
several,1
years.,1
1:,1
you,1
are,1
llke,0
"me,",1
you,1
had,1
an,1
1dea,0
of,1
what,1
was,1
meant,1
but,1
were,1
a,1
llttle,0
Vague.,0
In,1
a,1
Simplified,0
dlstrlbuted,0
"system,",1
there,1
15,1
somethlng,0
m,1
be,1
controlled.,1
for,1
1nstance,0
a,1
Valve.,0
A,1
Signal,0
15,1
sent.,1
Th1:,0
1nd1cates,0
the,1
current,1
condltlon.,0
1:,1
15,1
recelved,0
by,1
the,1
controller.,0
where,1
1:,1
15,1
"analyzed,",1
"and,",1
15,1
"necessary,",1
correctlve,0
actlon,0
1:,1
taken,1
to,1
"open,",1
close,1
or,1
adjust,1
the,1
Valve.,0
Early,1
analog,1
devlces,0
were,1
elementary,1
by,1
today's,1
digital,1
standards.,1
The,1
modern,1
controller,1
1:,1
much,1
smarter.,1
However.,1
1:,1
nelther,0
sees,1
all,1
nor,1
knows,1
all.,1
Some,1
jobs,1
are,1
too,1
compllcated,0
for,1
1:,1
to,1
handle.,1
A,1
hlgher,0
capaclty,0
central,1
process,1
computer,1
will,1
monltor,0
many,1
parameters,1
as,1
well,1
as,1
signals,1
to,1
and,1
from,1
the,1
controllers.,1
1:,1
can,1
make,1
far,1
more,1
complex,1
calculatlons,0
conslderlng,0
1nput,0
from,1
many,1
sources.,1
CMA,1
037999,1
1:,1
can,1
tell,1
the,1
controller,1
what,1
actlon,0
to,1
take,1
and,1
may,1
even,1
reprogram,1
1:,1
to,1
react,1
properly,1
to,1
changed,1
condltlons.,0
Equally,1
"1mportant,",0
the,1
maln,0
computer,1
can,1
be,1
equipped,1
Hlth,0
a,1
Volumlnous,0
and,1
rellable,0
long,1
term,1
memory.,1
1:,1
can,1
store,1
process,1
data;,1
"then,",1
1n,0
case,1
of,1
an,1
"upset,",1
1:,1
can,1
retrleve,0
and,1
analyze,1
the,1
data,1
to,1
lsolate,0
the,1
cause.,1
In,1
an,1
1ntegrated,0
"system,",1
the,1
1nformatlon,0
15,1
also,1
avaliable,0
to,1
busmess,0
computers,1
to,1
process,1
management,1
1nfomatlon.,0
Fortunately,1
for,1
us,1
"humans,",1
even,1
the,1
central,1
computer,1
needs,1
to,1
be,1
monltored,0
and,1
occaslonally,0
corrected.,1
So,1
there,1
are,1
5:111,0
"operators,",1
but,1
they,1
are,1
operatlng,0
mm,0
far,1
more,1
powerful,1
tools,1
than,1
avaliable,0
before.,1
The,1
tam,0
Dlstrlbuted,0
15,1
used,1
to,1
descrlbe,0
the,1
dlstrlbutlon,0
of,1
functlons,0
m,1
1nd1v1dual,0
controllers,1
Versus,0
control,1
dlrectly,0
by,1
a,1
central,1
unit.,1
These,1
systems,1
are,1
no't,1
only,1
cost,1
"effectlve,",0
they,1
look,1
good,1
too.,1
The,1
last,1
half,1
day,1
of,1
the,1
forum,1
was,1
devoted,1
to,1
open,1
dlscusslon,0
and,1
a,1
Crlthue,0
of,1
the,1
prevlous,0
sesslons.,0
Seventyseven,1
people,1
from,1
33,1
companles,0
attended.,1
Th1:,0
compares,1
to,1
79,1
at,1
the,1
1980,1
forum.,1
Evaluatlon,0
sheets,1
showed,1
overwhelmlng,0
support,1
for,1
another,1
forum.,1
Comments,1
Here,1
conslstently,0
favorable.,1
We,1
also,1
provlded,0
papers,1
for,1
those,1
who,1
couldn't,1
attend.,1
The,1
Englneerlng,0
Advlsory,0
Commlttee,1
revlewed,0
thls,0
Task,1
Group's,1
charter,1
and,1
supports,1
another,1
forum,1
planned,1
for,1
May,1
1934a,0
Th1:,0
15,1
subject,1
to,1
revlew,0
and,1
evaluatlon,0
early,1
next,1
year.,1
The,1
"exploslon,",0
a,1
better,1
word,1
15,1
"detonatlon,",0
of,1
control,1
technology,1
15,1
more,1
than,1
1nd1v1dual,0
companles,0
can,1
handle.,1
Cost,1
efflclency,0
dlctates,0
cooperatlon.,0
Aid,1
to,1
Educatlon,0
what,1
should,1
the,1
1ndustry,0
do,1
about,1
the,1
depletlon,0
of,1
educatlonal,0
faculty,1
and,1
facllltles?,0
We,1
don't,1
"know,",1
but,1
we,1
declded,0
1:,1
would,1
be,1
wlse,0
m,1
detemlne,0
where,1
we,1
are,1
before,1
we,1
declde,0
where,1
to,1
go.,1
We,1
started,1
mm,0
a,1
survey,1
through,1
englneerlng,0
contacts,1
to,1
61nd,0
out,1
just,1
how,1
and,1
how,1
much,1
our,1
1ndustry,0
15,1
commlttlng,0
to,1
support,1
of,1
educatlon.,0
Analysls,0
of,1
returns,1
15,1
underway.,1
"Unfortunately,",1
only,1
39,1
companles,0
responded.,1
However.,1
those,1
39,1
1nd1cated,0
contrlbutlons,0
of,1
over,1
$49,0
"mllllon,",0
an,1
unpresslve,0
number.,1
We,1
trunk,0
thls,0
can,1
be,1
used,1
by,1
the,1
Communlcatlons,0
Commlttee,1
as,1
an,1
lmage,0
unprover.,0
We,1
belleve,0
that,1
dlstrlbutlon,0
of,1
a,1
summary,1
report,1
of,1
the,1
analysls,0
will,1
encourage,1
1ncreased,0
support.,1
Though,1
the,1
level,1
of,1
support,1
by,1
1nd1v1dual,0
companles,0
CMA,1
037900,1
V,1
will,1
be,1
lcePt,1
confldentlal.,0
foreslghted,0
companles,0
can,1
be,1
recognlzed,0
as,1
leaders.,1
Laggards,1
should,1
recognlze,0
thelr,0
shorti,0
comlngs,0
and,1
be,1
motlvated,0
to,1
catch,1
up.,1
No,1
company,1
15,1
so,1
small,1
or,1
so,1
poor,1
that,1
1:,1
cannot,1
do,1
1::,0
share.,1
We,1
Will,1
keep,1
you,1
1nfomed,0
and,1
make,1
our,1
recommendatlons,0
later.,1
rnst,1
Effectlveness,0
Ours,1
15,1
a,1
low,1
cost,1
operatlon,0
as,1
far,1
as,1
am,1
15,1
concerned.,1
commlttee,0
slze,0
15,1
just,1
large,1
enough,1
to,1
provlde,0
a,1
good,1
cross,1
sectlon.,0
We,1
have,1
only,1
Elva,0
Task,1
Groups.,1
They,1
have,1
speclflc,0
asslgnments,0
and,1
hold,1
comparatlvely,0
few,1
meetlngs.,0
Our,1
demands,1
on,1
CMA,1
"staff,",1
"facilities,",1
and,1
dollars,1
are,1
small.,1
But,1
we,1
do,1
a,1
job,1
whlch,0
must,1
be,1
"done,",1
Either,0
Hlthln,0
or,1
outslde,0
of,1
CMA.,1
Separate,1
company,1
programs,1
to,1
do,1
what,1
we,1
do,1
would,1
cost,1
far,1
more,1
than,1
ours.,1
You,1
are,1
gettlng,0
a,1
good,1
return,1
on,1
your,1
1nvestment.,0
Our,1
Our,1
work,1
15,1
"prophylactlc,",0
not,1
postnatal.,1
We,1
prevent,1
rather,1
than,1
react.,1
Many,1
"regulatlons,",0
partlcularly,0
"DSHA'S,",0
are,1
based,1
on,1
natlonal,0
standards.,1
Under,1
"""new",1
"federallsm"",",0
standards,1
prepared,1
by,1
the,1
prlvate,0
sector,1
will,1
be,1
used,1
1n,0
more,1
"regulatlons,",0
both,1
federal,1
and,1
state.,1
We'd,1
better,1
be,1
damned,1
sure,1
they,1
say,1
what,1
we,1
want,1
them,1
to,1
say.,1
1:,1
15,1
better,1
for,1
us,1
to,1
speak,1
"up,",1
otherwlse,0
the,1
"fabrlcators,",0
"regulators,",1
and,1
muons,0
Will,1
be,1
free,1
to,1
look,1
after,1
thelr,0
own,1
narrow,1
1nterests.,0
Standards,1
carry,1
legal,1
connotatlons,0
beyond,1
mere,1
regulatlon.,0
There,1
Will,1
be,1
accldents.,0
"flres,",0
"exploslons,",0
and,1
releases,1
no,1
matter,1
how,1
hard,1
we,1
try,1
to,1
prevent,1
them.,1
In,1
fact,1
and,1
1n,0
"court,",1
we,1
must,1
be,1
certaln,0
that,1
we,1
have,1
followed,1
accepted,1
1ndustry,0
practlce.,0
Codes,1
and,1
standards,1
equal,1
good,1
practlce.,0
Let's,1
do,1
the,1
job,1
together.,1
We,1
can't,1
afford,1
to,1
stand,1
alone.,1
Now,1
here's,1
what,1
you,1
have,1
all,1
been,1
waiting,1
for.,1
CMA,1
CMA,1
037901,1
I,1
EXHIBIT,1
c,1
EXECUTIVE,1
SUMMARY,1
GOVERNMENT,1
RELATIONS,1
COMMITTEE,1
REPORT,1
TO,1
THE,1
CMA,1
BOARD,1
OF,1
DIRECTORS,1
August,1
"30,",1
1992,0
Early,1
sectlons,0
of,1
the,1
'report,1
of,1
the,1
Government,1
Relatlons,0
commlttee,0
are,1
devoted,1
to,1
1:5,0
role.,1
membershlp,0
and,1
organlzatlon.,0
Th,1
commlttee,0
15,1
the,1
focal,1
polnt,0
of,1
the,1
coordlnated,0
leglslatlve,0
actlvltles,0
of,1
the,1
chemlcal,0
1ndustry,0
1n,0
Washlngton.,0
Through,1
th,1
cooperatlve,0
efforts,1
of,1
a,1
mgnly,0
professlonal,0
communlty,0
of,1
Washlngton,0
"representatlves,",0
the,1
Government,1
Relatlons,0
Commlttee,1
15,1
able,1
to,1
provlde,0
a,1
servlce,0
whlch,0
offers,1
to,1
cm,0
and,1
1:5,0
vary,1
ous,1
program,1
elements:,1
monltorlng,0
of,1
key,1
"lssues,’",0
advlce,0
durlng,0
pollcy,0
maklng;,0
leglslatlve,0
strategy,1
development,1
and,1
polltlcal,0
analysls;,0
threat,1
leglslatlve,0
communlcatlons,0
programs.,1
where,1
the,1
unportance,0
of,1
lssues,0
have,1
dlctated,0
the,1
appolntm,0
nt,1
of,1
a,1
Commlttee,1
Keyman,1
or,1
fomatlon,0
of,1
a,1
task,1
"group,",1
the,1
staff,1
executhe/support,0
functlon,0
15,1
provlded,0
by,1
a,1
member,1
of,1
the,1
professlonal,0
staff,1
of,1
the,1
CMA,1
Government,1
Relatlons,0
Depart*,0
ment.,1
Speclal,0
Actlvltles,0
Sectlon,0
IVof,1
the,1
report,1
descrlbes,0
the,1
CMA,1
Erleflng,0
Break?,0
fast,1
and,1
the,1
CHEMICAL,1
mum,0
Luncheon,1
"serles,",0
both,1
almed,0
at,1
promotlng,0
1nteractlon,0
between,1
1ndustry,0
Washlngton,0
"representatlves,",0
encouraglng,0
partlclpatlon,0
and,1
keeplng,0
them,1
abreast,1
of,1
develop*,0
ments,1
on,1
current,1
lssues.,0
The,1
CHEMICAL,1
mum,0
also,1
serves,1
to,1
enhance,1
the,1
reputatlon,0
and,1
recognltlon,0
of,1
CMA,1
1n,0
the,1
Natlon's,0
"Capltal,",0
Since,1
1:,1
features,1
addresses,1
by,1
respected,1
and,1
wldelykn,0
wn,1
publlc,0
flgures.,0
Last,1
Year's,1
Dbjectlves,0
and,1
Progress,1
These,1
are,1
detalled,0
1n,0
Sectlon,0
"v,",1
Hlth,0
much,1
emphasls,0
belng,0
plac,1
d,1
on,1
widening,1
partlclpatlon,0
and,1
sharpenlng,0
1nternal,0
proce*,0
dures,1
.,1
I,1
flew,0
037902,1
Issues,1
Sectlon,0
v1,0
provldes,0
a,1
serles,0
of,1
reports,1
by,1
Keymen,1
and,1
task,1
group,1
chalrmen,0
on,1
unportant,0
lssues,0
whlch,0
occupy,1
the,1
attentlon,0
of,1
the,1
Government,1
Relatlons,0
Commlttee,1
durlng,0
thls,0
year.,1
These,1
lssues,0
represent,1
the,1
work,1
product,1
on,1
whlch,0
thls,0
commlttee,0
prof,0
Vldes,0
overall,1
leglslatlve,0
*senllce,0
and,1
leadershlp,0
for,1
cm,0
ad?,0
Vocacy.,0
Leglslatlvel,0
Tlmetable,0
and,1
Priorities,1
Sectlon,0
VIXlS,0
a,1
chart,1
whlch,0
represents,1
a,1
new,1
approach,1
by,1
the,1
Government,1
Relatlons,0
Commlttee,1
1n,0
identification,1
and,1
prior*,0
1tlzatlon,0
of,1
key,1
lssues.,0
The,1
Commlttee,1
belleves,0
that,1
thls,0
pro*,0
cess,1
should,1
be,1
completed,1
and,1
formallzed,0
for,1
all,1
of,1
the,1
CMA,1
pro*,0
gram.,1
1:,1
Will,1
be,1
noted,1
that,1
the,1
Commlttee,1
belleves,0
that,1
consmn,0
uent,1
communlcatlon,0
Will,1
be,1
especlally,0
approprlate,0
and,1
productlve,0
1n,0
the,1
lssues,0
of,1
the,1
Clean,1
Alr,0
Act.,1
the,1
Clean,1
Water,1
"Act,",1
Natural,1
Gas,1
"Deregulatlon,",0
and,1
Superfund/CERCLA.,1
"Slmllarly,",0
leglslatlve/,0
communlcatlons,0
priorities,1
seem,1
to,1
colnclde,0
1n,0
the,1
areas,1
of,1
the,1
Clean,1
Alr,0
"Act,",1
the,1
Clean,1
Water,1
"Act,",1
Natural,1
Gas,1
"Deregulatlon,",0
the,1
Dccupatlonal,0
Safety,1
and,1
Health,1
"Act,",1
and,1
Superfund/CERCLA.,1
Commlttee,1
Plans,1
and,1
Dbjectlves,0
Sectlon,0
VIII,1
explalns,0
three,1
areas,1
where,1
"""domg",0
"better""",1
would,1
seem,1
llkely,0
to,1
produce,1
1mportant,0
dlvldends,0
for,1
the,1
chemlcal,0
"in,",0
dustry:,1
linking,1
leglslatlve,0
and,1
communlcatlons,0
efforts,1
more,1
"dlrectly,",0
more,1
effectlve,0
"coalltlonlng,",0
and,1
the,1
focuslng,0
of,1
con*,0
stltuent,0
1nfluence.,0
In,1
the,1
area,1
of,1
communlcatlons,0
and,1
publlc,0
"understandlng,",0
the,1
Commlttee,1
15,1
forming,1
a,1
task,1
group,1
to:,1
create,1
more,1
1nteractlon,0
between,1
communlcatlons,0
professlonals,0
and,1
government,1
relatlons,0
professlonals;,0
1dentlfy,0
priorities;,1
set,1
t1metables.*,0
develop,1
new,1
"""messages"";",1
target,1
communlcatlons,0
programs,1
to,1
Congresslonal,0
dlstrlcts.,0
mm,0
regard,1
to,1
"coalltlons,",0
the,1
Government,1
Relatlons,0
Commlttee,1
plans,1
to,1
dlscourage,0
creatlon,0
of,1
new,1
organlzatlons,0
to,1
handle,1
€07,0
511mm,0
efforts,1
on,1
"iSSuES,",0
and,1
at,1
the,1
same,1
"time,",1
to,1
encourage,1
more,1
2,1
CMA,1
037903,1
I,1
r,1
attentlon,0
to,1
the,1
coalltlonlng,0
process,1
1n,0
the,1
larger,1
umbrella,1
busmess,0
organlzatlons.,0
In,1
order,1
to,1
promote,1
a,1
sharper,1
focus,1
on,1
constltuent,0
comm,0
nlcatlons,0
Hlth,0
speclflc,0
key,1
"Congressmen,",1
the,1
Government,1
Rely,0
tlons,0
Commlttee,1
has,1
begun,1
efforts,1
to:,1
AGENDA,1
MEETING,1
017,0
THE,1
MCA,1
BOARD,1
017,0
ummmns,0
TAB,1
Opening,1
Remarks,1
and,1
Introductlon,0
of,1
Guests,1
W,1
Chalrman,0
Donley,1
Approval,1
of,1
September,1
"12,",1
"1979,",1
Mlnutes,0
W,1
Chalrman,0
Donley,1
Flnanclal,0
Report,1
W,1
Treasurer,1
Herrman,1
Flnance,0
Commlttee,1
Report,1
W,1
J.,1
E.,1
Burrell,1
Proposed,1
Amendment,1
to,1
the,1
Bylaws,1
77,1
Secretary,1
Barackman,1
Report,1
of,1
Chalrman,0
of,1
the,1
Board,1
W,1
E.,1
Donley,1
Assoclatlon,0
Actlv1t1e5**R.,0
A.,1
Roland,1
Government,1
Relatlons,0
Report,1
77,1
w.,1
M.,1
Stover,1
3,1
Report,1
by,1
General,1
Counsel,1
W,1
E.,1
"B,",1
Frost,1
4,1
Semlannual,0
Meetlng,0
W,1
B.,1
M.,1
Barackman,1
New,1
Busmess,0
Adjournment.,1
1,1
2,1
Next,1
Meetlng,0
of,1
the,1
Board,1
of,1
Dlrectors,0
W,1
12:30,1
p.,1
m.,1
.,1
"Tuesday,",1
January,1
"9,",1
CMA,1
037502,0
2059,1
MINUTES,1
of,1
the,1
two,1
hundred,1
seventleth,0
meetlng,0
of,1
the,1
Board,1
of,1
Dlrectors,0
of,1
the,1
Manufacturlng,0
Chemlsts',0
"Assoclatlon,",0
Inc.,1
",",1
held,1
at,1
the,1
Plnnacle,0
Dlrectors:,0
Secretary:,1
General,1
Counsel:,1
Treasurer:,1
By,1
Invltatlon:,0
Edward,1
"Donley,",1
Chalman,0
Wllllam,0
R.,1
"Barrett,",1
Sr.,1
3.,1
Barclay,1
Morley,1
Wllllam,0
a.,1
Erlcker,0
Paul,1
F.,1
Drefflce,0
J.,1
Earl,1
Burrell,1
George,1
F.,1
Polzer,1
M.,1
Blouke,1
Carus,1
Seymour,1
5.,1
"Preston,",1
III,1
Peter,1
J.,1
F555,0
Toy,1
F.,1
Reld,0
Wllllam,0
J.,1
Ferracone,1
Robert,1
A.,1
Roland,1
John,1
T.,1
Flles,0
Jack,1
B.,1
St.,1
Clalr,0
Charles,1
F.,1
Fogarty,1
John,1
P.,1
Sachs,1
John,1
M.,1
Henske,1
Wllllam,0
G.,1
Slmeral,0
Wllllam,0
E.,1
Jackson,1
Charles,1
W.,1
Smith,1
Rlchard,0
A.,1
Jay,1
Eugene,1
J.,1
Sulllvan,0
Emerson,1
Kampen,1
Raymond,1
c.,1
Tower,1
Wllllam,0
c.,1
Krumrel,0
Alexander,1
B.,1
Trowbrldge,0
Duncan,1
J.,1
MacLennan,1
Hugh,1
B.,1
Vanderbllt,0
James,1
A.,1
McGowan,1
3.,1
Kent,1
Vanderhoef,1
Robert,1
L.,1
Mltchell,0
Harrlette,0
F.,1
Wltmer,0
Alfred,1
c.,1
"Stepan,",1
Jr.,1
Bruce,1
M.,1
Barackman,1
Edmund,1
B.,1
Frost,1
Gary,1
c.,1
Herman,1
luster,0
a.,1
Ambros.,0
BASF,1
Wyandotte,1
Corporatlon,0
E.,1
M.,1
Beavers.,0
Rohm,1
and,1
Haas,1
Company,1
&,1
Company,1
a.,1
w.,1
Buchanan.,0
Virginia,1
Chemlcals,0
Inc.,1
J.,1
5.,1
"Cosy,",0
Hooker,1
Chemlcal,0
Corporatlon,0
Thomas,1
a.,1
Dabovlch.,0
Morton,1
Chemlcal,0
"Company,",1
A,1
Dlvlslon,0
of,1
Morton,1
Norwlch,0
"Products,",1
Inc.,1
J.,1
Moms,0
"Evans,",1
PQ,1
Corporatlon,0
Myron,1
T.,1
Foveaux.,0
MCA,1
James,1
M.,1
"G111,",0
Ethyl,1
Cozporatlon,0
Stephen,1
L>.,1
"Goldsteln,",0
01m,0
Corporatlon,0
Wllllam,0
w.,1
"Hulsklng,",0
Glyco,1
"Chemlcals,",0
Inc.,1
George,1
w.,1
"Ingle,",1
MCA,1
Edward,1
J.,1
Klecka.,0
MCA,1
Lester,1
"Krogh,",1
Mlnnesota,0
Mmmg,0
and,1
Manufacturlng,0
"Company,",1
Chemlcal,0
Dlvlslon,0
Robert,1
a.,1
Malott.,0
ma,1
Corporatlon,0
Barry,1
D.,1
"McNeeley,",1
Eastman,1
Kodak,1
Company,1
CMA,1
037503,0
2059,1
By,1
Invltatlon:,0
Max,1
A.,1
"Mmmg,",0
Borden,1
Chemlcal,0
Dlvlslon,0
of,1
Borden.,0
Inc.,1
Donald,1
D.,1
"Pascal,",1
Natlonal,0
Starch,1
and,1
Chemlcal,0
Cozporatlon,0
Vlctor,0
E.,1
Peterson.,0
MCA,1
Paul,1
M.,1
"Pltts,",0
ARCD/Chemlcal,0
"Company,",1
Dlvlslon,0
of,1
Atlantlc,0
Rlchfleld,0
Company,1
L.,1
John,1
"Pollte,",0
Jr.,1
",",1
Essex,1
Chemlcal,0
Corporatlon,0
P.,1
c.,1
"Rellly,",0
Rellly,0
Tar,1
and,1
Chemlcal,0
Cozporatlon,0
John,1
E.,1
"Slavlck,",0
MCA,1
Wllllam,0
M.,1
"Stover,",1
MCA,1
John,1
G.,1
Trltsch.,0
MCA,1
Konrad,1
M.,1
"Wels,",0
Mobay,1
Chemlcal,0
Corporatlon,0
opmmc,0
REMARKS,1
AND,1
mmouucnou,0
0F,0
GUESTS,1
mm,0
a,1
speclal,0
welcome,1
to,1
past,1
dlrectors,0
and,1
other,1
guests.,1
Chalman,0
Donley,1
opened,1
the,1
meetlng,0
by,1
calllng,0
for,1
selfilntroductlon,0
of,1
those,1
present,1
1n,0
turn.,1
MINUTES,1
017,0
SEPTEMBER,1
"12,",1
"1979,",1
MEETING,1
Mlnutes,0
of,1
the,1
September,1
"12,",1
"1979,",1
Board,1
"meetlng,",0
as,1
"dlstrlbuted,",0
1nclud1ng,0
the,1
flnanclal,0
statement,1
for,1
three,1
months,1
endlng,0
August,1
"31,",1
"1979,",1
were,1
approved.,1
FINANCIAL,1
upon,1
A,1
summarlzed,0
flnanclal,0
statement,1
for,1
Elva,0
months,1
endlng,0
October,1
"31,",1
"1979,",1
Exhlblt,0
"A,",1
was,1
revlewed,0
by,1
Mr.,1
Herman.,0
Notlng,0
that,1
assets,1
totaled,1
approxlmately,0
se.,0
a,1
"mllllon,",0
of,1
whlch,0
s4.,0
4,1
mllllon,0
related,1
to,1
speclal,0
proj7,0
"ects,",1
he,1
emphaslzed,0
that,1
mm,0
budget,1
amendments,1
thls,0
"year,",1
we,1
currently,1
have,1
budgeted,1
revenues,1
of,1
"54,",0
"525,",1
nun,0
and,1
total,1
budget,1
expenses,1
of,1
"55,",0
"352,",0
nun.,0
Assumlng,0
no,1
further,1
budget,1
"changes,",1
we,1
are,1
looklng,0
forward,1
to,1
a,1
budget,1
deflclt,0
of,1
"$937,900",0
at,1
the,1
end,1
of,1
thls,0
flscal,0
year.,1
The,1
monthly,1
Treasurer's,1
report,1
for,1
the,1
perlod,0
June,1
"1,",1
1979,1
7,1
October,1
"31,",1
1979,1
Will,1
be,1
mallet!,0
mm,0
the,1
Board,1
mlnutes.,0
FINANCE,1
COMMITTEE,1
REPORT,1
As,1
"chalrman,",0
Mr.,1
Burrell,1
revlewed,0
the,1
actlvltles,0
of,1
the,1
Flnance,0
Com?,0
mlttee,0
1n,0
addresslng,0
the,1
1mpact,0
on,1
expenses,1
resultlng,0
from,1
the,1
reorganlzatlon,0
of,1
MCA.,1
To,1
"data,",1
thls,0
would,1
create,1
the,1
expected,1
deficit,1
of,1
"$937,900",0
mentloni,0
ed,1
by,1
Mr.,1
